,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
R1,2.0747,8.2292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6098,0.0000,0.0000,0.0000,6.4035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0293,0.0000,3.6566,0.0000,3.9429,0.0000,4.2004,0.0000,0.0000,0.0000,0.0000,2.9465,0.0000
R2,0.0000,1.9802,0.0000,0.0000,6.8665,0.0000,3.7651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4151,0.0000,7.7691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1018,6.6718,7.8958,0.0000,0.0000,0.0000
R3,0.0000,0.0000,7.0250,3.7933,0.0000,8.8461,4.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R4,0.6949,0.0000,0.0000,7.5385,0.0000,0.0000,2.9448,0.0000,0.0000,0.0000,5.0880,0.0000,0.0000,0.0000,0.0000,0.0000,6.8969,0.0000,7.5866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1730,0.0000,0.0000
R5,0.0000,0.0000,0.0000,0.0000,6.5011,0.0000,9.9047,0.0000,0.0000,0.0000,0.0000,0.0000,9.2183,0.0000,7.5375,0.0000,4.8593,0.0000,0.0000,0.0000,1.1098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R6,0.0000,9.7273,0.0000,0.0000,5.9053,8.7977,0.0000,0.0000,0.0000,8.5096,0.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,1.4486,0.0000,0.0000,0.0000,8.2761,0.0000,0.0000,0.0000,0.0000,3.4486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0124,0.0000,0.0000,0.0000,0.0000,2.4922,0.0000,0.0000,7.9830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9180,0.0000
R9,0.0000,2.0302,0.0000,4.4994,0.0000,0.0000,0.0000,0.0000,0.4457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3050,0.0000
R10,0.0000,0.0000,0.0000,0.0000,0.0000,3.8248,0.0000,0.0000,0.0000,1.0163,0.0000,0.0000,0.0000,0.0000,0.0000,0.4178,0.0000,0.0000,1.2833,0.0000,0.0000,0.0000,0.0000,0.0000,8.3744,0.0000,0.0000,4.3839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5872,0.0000,0.0000,0.0000,0.0000,0.0000,3.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R12,0.0000,0.0000,0.0000,0.0000,0.0000,6.7763,0.0000,0.0000,0.0000,0.0000,0.0000,9.4796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9555,0.0000,0.0000,0.4907,0.0000,0.0000,0.0000,0.0000
R14,0.0000,0.0000,0.0000,0.0000,3.8455,2.1819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1434,7.7537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1333,5.6780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4419,0.0000
R17,2.0673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R18,0.0000,0.0000,0.0000,5.0170,0.0000,0.0000,5.6668,0.0000,5.4646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3410,0.0000,0.0000,2.0729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9724,0.0000,6.3512,0.0000,0.0000
R19,0.0000,0.0000,0.0000,0.0000,0.0000,8.0491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2015,1.5783,0.7109,0.0000,0.0000,7.8404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R20,0.0000,0.0000,3.4592,0.0000,0.0000,0.0000,0.0000,0.0000,1.9032,0.0000,0.0000,0.0000,0.0000,0.0000,3.9659,2.5584,3.5430,0.0000,0.0000,9.9062,4.4333,1.6280,0.0000,0.0000,0.0000,6.1902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R21,0.0000,0.0000,0.0000,9.7187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R22,5.9130,0.0000,0.0000,0.0000,8.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8881,0.0000,0.0000,0.0000,1.6095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0103
R23,5.1488,0.0000,1.7692,0.0000,0.0000,0.0000,0.0000,8.6847,2.9395,0.0000,0.0000,0.0000,0.0000,1.6172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5837,0.0000,0.0000,0.0000,0.0000,0.0000,5.5852,0.0000,0.0000,7.5606,0.0000,0.0000,0.0000,7.7564
R24,0.0000,0.6145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7999,0.0000,0.0000,0.0000,8.1228,6.2674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2133,0.0000,0.0000,0.0000
R25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3431,0.0000,8.8736,0.0000,0.0000,0.0000,0.0000,0.0000,1.7031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8629,0.0000,0.0000,3.0867,0.7378,0.0000,0.0000,0.0000,0.0000,5.5141,0.0000,0.0000,0.0000,0.0000,0.0000
R26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7902,3.1864,0.0000,0.0000,0.0000,0.0000,0.0000,5.4088,0.0000,0.0000,0.0000,0.0000,0.0000,6.1891,0.0000,3.1771,8.5587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R27,0.0000,9.6453,0.0000,0.0000,0.0000,5.3751,0.0000,0.0000,0.0000,2.0580,1.4037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3212,0.6077
R28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9196,0.0000,0.0000,1.8464,0.0000,0.0000,0.0000,8.6144,0.0000,0.0000,0.0000,0.0000,0.4636,8.8702,5.0381,0.0000,0.0000,5.2155,0.0000,0.0000,0.0000,0.0000
R29,0.0000,0.0000,1.0304,0.0000,3.9379,0.0000,0.0000,0.0000,0.0000,0.0000,4.2012,3.3436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0286,0.0000,0.0000,0.0000,3.6020,0.0000,0.0000,0.0000,0.0000,0.0000,7.6509,0.0000,0.0000,1.6623,0.0000,0.0000,0.0000,0.0000
R30,0.0000,0.0000,0.0000,5.2246,7.0235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9469,0.0000,0.0000,6.4625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3903,0.0000,2.9248,0.0000,0.0000,8.3194,0.0000
